Cryptopia,LGS/BTC,"$967,575",ETN/BTC,"$217,530",WC/BTC,"$206,364",LTC/BTC,"$115,183",ETH/BTC,"$113,849",DOGE/BTC,"$90,322",$PAC/BTC,"$89,702",TPAY/BTC,"$88,225",ANON/BTC,"$83,373",GTM/BTC,"$66,446"
Indodax,BTC/IDR,"$781,765",TRX/IDR,"$545,637",XRP/IDR,"$399,058",BCD/IDR,"$378,068",ETH/IDR,"$226,609",STQ/IDR,"$157,110",DOGE/IDR,"$141,699",ADA/IDR,"$141,674",BCH/IDR,"$109,332",STR/IDR,"$104,884"
Liquid,ETH/USD,"$1,126,123",ETH/JPY,"$624,453",BCH/USD,"$331,452",XRP/JPY,"$308,501",ETH/BTC,"$208,517",BCH/JPY,"$128,888",BCH/BTC,"$94,704",QASH/JPY,"$89,608",NEO/BTC,"$88,098",LIKE/BTC,"$56,219"
BtcTurk,XRP/TRY,"$1,820,161",BTC/TRY,"$1,055,014",USDT/TRY,"$384,929",ETH/TRY,"$377,564",LTC/TRY,"$60,595",BTC/USDT,"$12,871"
BTCC,BCH/USD,"$2,546,895",ETH/USD,"$796,845",BTC/USD,"$221,105",LTC/BTC,"$?",BCH/BTC,"$?",LTC/USD,"$?",ETH/BTC,"$?"
BTC-Alpha,R/BTC,"$1,773,920",VEX/BTC,"$277,151",VEX/USD,"$197,644",BTC/USD,"$192,300",UBEX/BTC,"$176,650",UBEX/ETH,"$175,800",TRF/BTC,"$153,110",CBC/USD,"$93,738",TRF/ETH,"$92,374",NOAH/BTC,"$61,582"
DSX,BTC/EUR,"$1,540,053",BTC/USD,"$943,626",ETH/EUR,"$189,199",ETH/USD,"$113,773",ETH/BTC,"$55,690",LTC/USD,"$31,620",LTC/BTC,"$31,038",LTC/EUR,"$19,238",BTC/RUB,"$16,750",BCC/BTC,"$12,366"
Paribu,BTC/TRY,"$2,740,732"
QuadrigaCX,BTC/CAD,"$2,320,851",ETH/CAD,"$318,960",BTC/USD,"$35,212",BCH/CAD,"$24,370",LTC/CAD,"$21,510",ETH/BTC,"$6,957",BTG/CAD,"$1,557"
Tidex,WAVES/BTC,"$2,199,480",NTK/ETH,"$66,583",NTK/BTC,"$46,273",REM/ETH,"$34,891",REM/BTC,"$32,591",HUR/BTC,"$26,306",MSD/BTC,"$22,663",ENGT/ETH,"$21,195",ETH/BTC,"$13,984",DROP/BTC,"$11,790"
BigONE,BLACK/EOS,"$1,480,171",ETH/BTC,"$331,316",IOST/BTC,"$186,304",GXS/BTC,"$86,926",EOS/BTC,"$64,599",EOS/ETH,"$46,380",IDT/BTC,"$31,941",IDT/ETH,"$19,444",CRE/ETH,"$19,023",XIN/BTC,"$16,534"
Ovis,BTC/TRY,"$1,049,255",EOS/TRY,"$147,659",OMG/TRY,"$111,838",BCH/TRY,"$109,445",MIOTA/TRY,"$109,394",DOGE/TRY,"$95,237",XRP/TRY,"$90,453",ETC/TRY,"$78,992",LTC/TRY,"$67,201",XMR/TRY,"$61,119"
Luno,BTC/ZAR,"$1,917,451",BTC/NGN,"$334,785",BTC/EUR,"$14,756",BTC/IDR,"$13,059",BTC/MYR,"$2,747"
Bancor Network,BNT/ETH,"$1,146,291",KIN/BNT,"$432,595",NEXO/BNT,"$76,432",MANA/BNT,"$75,525",CMCT/BNT,"$70,589",STX/BNT,"$64,415",BAX/BNT,"$55,403",KICK/BNT,"$40,847",STORM/BNT,"$17,536",XPAT/BNT,"$17,000"
CryptalDash,BTC/USDT,"$1,316,479",ETH/USDT,"$439,159",ETH/BTC,"$386,553",CRD/BTC,"$1,420"
